Taxon,FAD,LAD
Tetracynodon_tenuis,259.1,251.902
Tetragonius_njalilus,247.2,237
Theriognathus_microps,254.14,251.902
Therioherpeton_cargnini,237,227
Thliptosaurus_imperforatus,259,252.3
Thrinaxodon_liorhinus,251.902,251.2
Thrinaxodon_berryi,251,251
Tiarajudens_eccentricus,265.1,259.1
Titanophoneus_adamanteus,268.8,259.1
Titanophoneus_potens,268.8,259.1
Titanosuchus_ferox,265.1,259.1
Traversodon_stahleckeri,242,227
Traversodontoides_wangwuensis,247.2,242
Trichasaurus_texensis,283.5,272.95
Trirachodon_spp,251.2,237
Trirachodon_berryi,247.2,242
Trithelodon_riconoi,201.3,190.8
Tritylodon_longaevus,190,190
Tropidostoma_dubium,259.1,254.14
Trucidocynodon_riograndensis,237,227
Turfanodon_bogdaensis,254.14,251.902
Ufudocyclops_mukanelai,247.2,237
Ulemica_spp,268.8,259.1
Ulemica_efremovi,268.8,259.1
Ulemica_invisa,268.8,259.1
Ulemosaurus_svijagensis,268.8,259.1
Uralokannemeyeria_vjuschkovi,251.2,242
Urumchia_lii,251.902,247.2
USNM_412421,259.1,254.14
Varanodon_agilis,272.95,268.8
Varanops_brevirostris,290.1,272.95
Varanosaurus_acutirostris,278,278
Varanosaurus_wichitaensis,283.5,272.95
Vaughnictis_smithae,298.9,290.1
Venyukovia_prima,268.8,265.1
Viatkogorgon_ivakhnenkoi,265.1,254.14
Viatkosuchus_sumini,265.1,254.14
Vinceria_andina,247.2,242
Vinceria_argentinensis,251.2,237
Vivaxosaurus_trautscholdi,259.1,251.902
Wadiasaurus_indicus,247.2,237
Watongia_meieri,272.95,268.8
Xenocretosuchus_sibiricus,129.4,113
Xiukannemeyeria_brevirostris,251.2,242
Youngina capensis ,253.48,253.48
Yuanotherium_spp,163.5,157.3
Yuanotherium_minor,163.5,157.3
Yunannodon_brevirostre,199.3,182.7
Zambiasaurus_submersus,247.2,237
